datapath_id,dst_ip_count,src_ip_count,byte_count,packet_count,flow_count
1,66,4,1196,18,12
3,46,4,1366,16,10
2,97,6,1712,24,17
1,66,4,6946,60,12
2,97,6,11558,98,17
3,59,4,9483,84,11
1,66,4,12510,102,12
3,59,4,16386,136,11
2,97,6,21134,170,17
1,66,4,18750,151,12
2,97,6,31386,249,17
3,59,4,23965,195,11
1,66,4,24170,192,12
3,59,4,30724,246,11
2,97,6,40818,320,17
1,66,4,29520,232,12
3,59,4,37413,296,11
2,97,6,50180,390,17
1,66,4,35084,274,12
2,97,6,59756,462,17
3,59,4,44316,348,11
1,66,4,40434,314,12
2,97,6,69118,532,17
3,59,4,51005,398,11
1,66,4,45784,354,12
3,59,4,57694,448,11
2,97,6,78480,602,17
1,66,4,51134,394,12
3,59,4,64383,498,11
2,97,6,87842,672,17
1,66,4,56484,434,12
3,59,4,71072,548,11
2,97,6,97204,742,17
1,66,4,62114,478,12
3,59,4,78111,603,11
2,97,6,106846,816,17
1,66,4,67744,522,12
2,97,6,116488,890,17
3,59,4,85010,656,11
1,66,4,70847,547,12
2,97,6,122693,940,17
3,59,4,90789,701,11
1,66,4,73308,564,12
3,59,4,91913,708,11
2,97,6,126064,962,17
1,66,4,78658,604,12
2,97,6,135426,1032,17
3,59,4,98602,758,11
1,66,4,84008,644,12
3,59,4,105291,808,11
2,97,6,144788,1102,17
1,66,4,89358,684,12
3,59,4,111980,858,11
2,97,6,154150,1172,17
1,66,4,94708,724,12
2,97,6,163512,1242,17
3,59,4,118669,908,11
1,66,4,100058,764,12
3,59,4,125358,958,11
2,97,6,172874,1312,17
1,66,4,105408,804,12
2,97,6,182236,1382,17
3,59,4,132047,1008,11
1,66,4,110758,844,12
3,59,4,138736,1058,11
2,97,6,191598,1452,17
1,66,4,116108,884,12
3,59,4,145425,1108,11
2,97,6,200960,1522,17
1,66,4,121458,924,12
3,59,4,152114,1158,11
2,97,6,210322,1592,17
1,66,4,126808,964,12
3,59,4,158803,1208,11
2,97,6,219684,1662,17
1,66,4,132158,1004,12
3,59,4,165492,1258,11
2,97,6,229046,1732,17
1,66,4,137648,1046,12
2,97,6,238478,1803,17
3,59,4,172251,1309,11
3,59,4,179150,1362,11
1,66,4,143138,1088,12
2,97,6,248050,1876,17
1,66,4,148488,1128,12
3,59,4,185839,1412,11
2,97,6,257412,1946,17
1,66,4,153838,1168,12
2,97,6,266774,2016,17
3,59,4,192528,1462,11
3,59,4,199711,1518,11
1,66,4,159682,1214,12
2,97,6,276630,2092,17
1,66,4,165032,1254,12
2,97,6,285992,2162,17
3,59,4,206400,1568,11
1,66,4,170382,1294,12
2,97,6,295354,2232,17
3,59,4,213089,1618,11
1,66,4,175732,1334,12
3,59,4,219778,1668,11
2,97,6,304716,2302,17
1,66,4,178012,1348,12
3,59,4,224338,1696,11
2,97,6,308136,2323,17
1,66,4,178012,1348,12
2,97,6,308136,2323,17
3,59,4,224338,1696,11
1,66,4,178012,1348,12
3,59,4,224338,1696,11
2,97,6,308136,2323,17
1,66,4,178012,1348,12
3,59,4,224338,1696,11
2,97,6,308136,2323,17
1,66,4,178012,1348,12
3,59,4,224338,1696,11
2,97,6,308136,2323,17
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
3,59,4,224866,1704,11
2,97,6,308532,2329,17
1,66,4,178276,1352,12
2,97,6,308532,2329,17
3,59,4,224866,1704,11
1,66,4,178346,1353,12
3,59,4,224936,1705,11
2,97,6,308602,2330,17
1,66,4,178346,1353,12
3,59,4,224936,1705,11
2,97,6,308602,2330,17
1,66,4,178486,1355,12
2,97,6,308672,2331,17
3,59,4,225006,1706,11
1,66,4,178486,1355,12
3,59,4,225006,1706,11
2,97,6,308672,2331,17
1,66,4,178556,1356,12
3,59,4,225146,1708,11
2,97,6,308812,2333,17
1,66,4,178556,1356,12
3,59,4,225146,1708,11
2,97,6,308812,2333,17
1,66,4,178840,1359,12
2,97,6,309096,2336,17
3,59,4,225360,1710,11
1,66,4,178840,1359,12
2,97,6,309096,2336,17
3,59,4,225360,1710,11
1,66,4,178980,1361,12
2,97,6,309236,2338,17
3,59,4,225500,1712,11
1,66,4,178980,1361,12
3,59,4,225500,1712,11
2,97,6,309236,2338,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
1,66,4,179050,1362,12
3,59,4,225640,1714,11
2,97,6,309306,2339,17
1,66,4,179050,1362,12
2,97,6,309306,2339,17
3,59,4,225640,1714,11
